Rank;Team;Continent;ELO - Rating;Avg Rank;Avg Rating;1Y Rank;1Y Rating;Matches Total;Home;Away;Neutral;Wins;Losses;Draws;Goals For;Goals Against;;
138;Dominican Republic;North America;1292;161;1037;23;84;176;81;59;36;66;82;28;226;374;;
139;Lithuania;Europe;1291;91;1315;-13;-40;406;161;202;43;104;224;78;401;738;;
140;Latvia;Europe;1290;86;1400;-18;-51;448;185;209;54;126;215;107;527;741;;
141;Tajikistan;Asia;1288;124;1329;-32;-100;203;50;81;72;74;108;33;727;411;;
142;New Caledonia;Oceania;1287;101;1362;15;54;279;86;67;126;138;108;33;727;411;;
143;Guinea-Bissau;Africa;1285;125;1285;-29;-77;200;61;59;80;56;96;48;202;296;;
144;Burundi;Africa;1283;125;1287;1;3;231;49;85;97;70;107;54;262;321;;
145;Ethiopia;Africa;1282;98;1398;-4;-13;455;207;155;93;161;193;101;630;672;;
146;Malawi;Africa;1282;115;1327;-6;-19;653;286;226;141;217;249;187;763;847;;
147;Faroe Islands;Europe;1272;121;1252;0;3;272;115;136;21;44;191;37;199;632;;
148;Central African Republic;Africa;1269;123;1301;-15;-51;156;115;31;6;31;90;32;174;308;;
149;Guyana;South America;1269;103;1293;3;46;446;178;189;79;137;220;89;569;777;;
150;Liberia;Africa;1265;112;1340;4;13;324;137;138;49;85;168;71;299;491;;
151;Malta;Europe;1256;119;1320;1;-5;444;240;178;26;62;307;75;283;992;;
152;Malaysia;Asia;1251;124;1283;-2;-13;913;380;230;303;349;356;208;1476;991;;
153;Cuba;North America;1248;85;1424;-15;-56;492;112;210;170;186;191;115;677;687;;
154;Lesotho;Africa;1240;151;1188;-1;-13;330;109;139;66;66;164;100;267;367;;
155;Fiji;Oceania;1229;128;1251;1;7;280;106;60;104;60;160;54;689;640;;
156;Congo;Africa;1226;120;1478;-10;-48;460;179;183;98;168;180;92;660;645;;
157;Eswatini;Africa;1226;152;1177;-1;-24;301;112;122;67;62;147;92;258;495;;
158;French Guiana;South America;1221;123;1251;-15;-66;188;67;65;56;57;90;41;279;321;;
159;Mayotte;Africa;1217;158;1202;1;0;41;2;11;28;13;17;11;55;59;;
160;Turkmenistan;Asia;1214;120;1350;-1;-5;176;39;71;66;65;78;33;268;267;;
161;Tahiti;Oceania;1206;79;1392;3;7;58;70;125;143;125;213;94;663;693;;
162;India;Asia;1157;117;1313;0;-37;581;168;156;257;211;249;121;808;952;;
163;St Vincent & Grenadines;North America;1155;108;1329;11;65;353;132;133;88;125;145;83;543;636;;
164;Chad;Africa;1152;135;1245;-1;-38;171;40;58;73;34;99;38;152;315;;
165;Eritrea;Africa;1144;163;1162;0;0;84;20;27;37;36;50;19;142;163;;
166;Hong Kong;Asia;1137;123;1284;14;80;500;176;149;175;177;226;97;792;756;;
167;South Sudan;Africa;1134;179;1086;0;-3;74;13;28;39;36;48;36;50;133;;
168;Bermuda;North America;1131;129;1283;-2;-12;224;102;76;46;75;105;44;356;387;;
